Sample No.,Cl in wt.% / total mass,XRF 1*,XRF 2*,XRF 3*,Ø,SD
K01,0.06,0.056,0.055,0.057,0.056,0.001
K02,0.19,0.175,0.182,0.178,0.178,0.004
K03,0.32,0.310,0.308,0.307,0.308,0.002
K04,0.46,0.437,0.433,0.432,0.434,0.003
K05,0.59,0.550,0.558,0.555,0.554,0.004
K06,0.72,0.684,0.676,0.683,0.681,0.004
K07,0.85,0.824,0.827,0.830,0.827,0.003
K08,0.98,0.923,0.926,0.937,0.929,0.007
K09,1.15,1.109,1.108,1.100,1.106,0.005
K10,1.43,1.387,1.405,1.400,1.397,0.009
K11,1.71,1.673,1.641,1.669,1.661,0.017
K12,1.95,1.962,1.964,1.966,1.964,0.002
